Date,Open,High,Low,Close,,,Volume,Adj Close
11/20/2015,17732.75,17914.33984,17732.75,17823.81055,91.060547,1,153140000,17823.81055
11/19/2015,17739.83008,17772.9707,17681.98047,17732.75,-7.080078,0,114630000,17732.75
11/18/2015,17485.49023,17752.16016,17485.49023,17737.16016,251.669922,1,106810000,17737.16016
11/17/2015,17486.99023,17599.33008,17451.41016,17489.5,2.509766,1,167190000,17489.5
11/16/2015,17229.93945,17483.00977,17210.42969,17483.00977,253.070313,1,137590000,17483.00977
11/13/2015,17439.25,17439.25,17238.89063,17245.24023,-194.009766,0,134640000,17245.24023
11/12/2015,17691.92969,17691.92969,17443.5,17448.07031,-243.859376,0,113660000,17448.07031
11/11/2015,17769.5,17807.17969,17696.91016,17702.2207,-67.279297,0,95230000,17702.2207
11/10/2015,17724.13086,17768.66016,17657.7207,17758.21094,34.080079,1,108640000,17758.21094
11/9/2015,17900.7793,17900.7793,17667.7793,17730.48047,-170.298828,0,121210000,17730.48047
11/6/2015,17855.2207,17912.03906,17768.59961,17910.33008,55.109375,1,107450000,17910.33008
11/5/2015,17871.25,17929.50977,17779.18945,17863.42969,-7.820312,0,98910000,17863.42969
11/4/2015,17929.58008,17964.11914,17828.83008,17867.58008,-62,0,99890000,17867.58008
11/3/2015,17819.74023,17977.84961,17796.01953,17918.15039,98.410157,1,92290000,17918.15039
11/2/2015,17672.61914,17845.90039,17655.01953,17828.75977,156.140625,1,100840000,17828.75977
10/30/2015,17756.59961,17799.96094,17662.86914,17663.53906,-93.060547,0,149250000,17663.53906
10/29/2015,17771.5,17786,17684.7207,17755.80078,-15.699219,0,90300000,17755.80078
10/28/2015,17586.68945,17779.94922,17556.71094,17779.51953,192.830078,1,115630000,17779.51953
10/27/2015,17608.89063,17635.17969,17540.57031,17581.42969,-27.460937,0,113960000,17581.42969
10/26/2015,17649.57031,17660.69922,17602.50977,17623.05078,-26.519531,0,116660000,17623.05078
10/23/2015,17525.10938,17679.36914,17525.10938,17646.69922,121.589844,1,158090000,17646.69922
10/22/2015,17180.88086,17505.17969,17180.88086,17489.16016,308.279297,1,152420000,17489.16016
10/21/2015,17225.92969,17314.99023,17153.13086,17168.60938,-57.320313,0,107100000,17168.60938
10/20/2015,17228.4707,17264.88086,17147.99023,17217.10938,-11.361328,0,106670000,17217.10938
10/19/2015,17209.42969,17235.94922,17129.18945,17230.53906,21.109374,1,118430000,17230.53906
10/16/2015,17141.75,17220.01953,17107.34961,17215.9707,74.220703,1,145880000,17215.9707
10/15/2015,16944.85938,17144.41992,16933.57031,17141.75,196.890625,1,122960000,17141.75
10/14/2015,17079.08008,17111.38086,16887.66992,16924.75,-154.330078,0,120110000,16924.75
10/13/2015,17113.55078,17172.81055,17034.44922,17081.89063,-31.660156,0,99400000,17081.89063
10/12/2015,17082.28906,17139.21094,17064.58008,17131.85938,49.570313,1,72500000,17131.85938
10/9/2015,17054.68945,17110.88086,17027.23047,17084.49023,29.800781,1,103730000,17084.49023
10/8/2015,16904.16992,17081.2793,16859.33984,17050.75,146.580078,1,100730000,17050.75
10/7/2015,16805.41992,16963.30078,16765,16912.28906,106.86914,1,115690000,16912.28906
10/6/2015,16774.01953,16865.08984,16746.0293,16790.18945,16.169922,1,120010000,16790.18945
10/5/2015,16502.09961,16798.36914,16502.09961,16776.42969,274.330079,1,127660000,16776.42969
10/2/2015,16258.25,16472.76953,16013.66016,16472.36914,214.119141,1,136870000,16472.36914
10/1/2015,16278.62012,16348.87012,16073.82031,16272.00977,-6.610351,0,111420000,16272.00977
9/30/2015,16057.08008,16297.59961,16057.08008,16284.7002,227.620117,1,145740000,16284.7002
9/29/2015,16001.75977,16118.88965,15942.37012,16049.12988,47.370117,1,121160000,16049.12988
9/28/2015,16313.25977,16313.25977,15981.84961,16001.88965,-311.370118,0,139930000,16001.88965
9/25/2015,16205.07031,16465.23047,16205.07031,16314.66992,109.59961,1,130790000,16314.66992
9/24/2015,16257.11035,16257.11035,16016.36035,16201.32031,-55.79004,0,122220000,16201.32031
9/23/2015,16332.80957,16355.29004,16211.98047,16279.88965,-52.919922,0,86030000,16279.88965
9/22/2015,16477.44922,16477.44922,16221.73047,16330.46973,-146.979492,0,119010000,16330.46973
9/21/2015,16406.09961,16578.59961,16391.88086,16510.18945,104.089844,1,90730000,16510.18945
9/18/2015,16674.74023,16674.74023,16343.75977,16384.58008,-290.160156,0,341690000,16384.58008
9/17/2015,16738.08008,16933.42969,16639.92969,16674.74023,-63.339844,0,129600000,16674.74023
9/16/2015,16599.50977,16755.98047,16593.90039,16739.94922,140.439453,1,99620000,16739.94922
9/15/2015,16382.58008,16644.10938,16382.58008,16599.84961,217.269531,1,93050000,16599.84961
9/14/2015,16450.85938,16450.85938,16330.87012,16370.95996,-79.899414,0,92660000,16370.95996
9/11/2015,16330.40039,16434.75977,16244.65039,16433.08984,102.689453,1,104630000,16433.08984
9/10/2015,16252.57031,16441.93945,16212.08008,16330.40039,77.830079,1,122690000,16330.40039
9/9/2015,16505.03906,16664.65039,16220.09961,16253.57031,-251.46875,0,118790000,16253.57031
9/8/2015,16109.92969,16503.41016,16109.92969,16492.67969,382.75,1,123870000,16492.67969
